"stco","year","ppt"
1001,1981,649.300993149865
1003,1981,668.329327945929
1005,1981,557.344650116718
1007,1981,624.092021236218
1009,1981,658.477039198076
1011,1981,558.149912576472
1013,1981,547.380025615786
1015,1981,567.551672513084
1017,1981,560.505111846982
1019,1981,624.50938780125
1021,1981,670.418203614239
1023,1981,610.524986714161
1025,1981,582.122456315506
1027,1981,613.64228815629
1029,1981,545.257319420735
1031,1981,569.754468150668
1033,1981,668.061437572002
1035,1981,612.753691967822
1037,1981,612.473250516252
1039,1981,594.988955937264
1041,1981,578.29033666218
1043,1981,650.007699915244
1045,1981,563.950658445721
1047,1981,587.662136667347
1049,1981,714.84527520338
1051,1981,642.869888885222
1053,1981,677.012541830795
1055,1981,643.563339890199
1057,1981,614.695268531231
1059,1981,662.955775933597
1061,1981,551.014303867029
1063,1981,547.779675189426
1065,1981,602.019442257626
1067,1981,594.527932817168
1069,1981,562.657820574034
1071,1981,722.53700472613
1073,1981,586.532181485998
1075,1981,572.058822931172
1077,1981,671.61795542843
1079,1981,639.973829550603
1081,1981,620.69027451188
1083,1981,659.838148852167
1085,1981,549.414570426775
1087,1981,614.844773967465
1089,1981,664.923996961358
1091,1981,589.621837629944
1093,1981,641.432458006077
1095,1981,739.344158246361
1097,1981,693.120270101788
1099,1981,609.06753191285
1101,1981,572.049042163758
1103,1981,653.115508350533
1105,1981,618.568208821917
1107,1981,530.277446426441
1109,1981,596.378559117997
1111,1981,539.519319399943
1113,1981,555.836354310939
1115,1981,612.634637254736
1117,1981,591.789059008389
1119,1981,595.290636348791
1121,1981,596.552266462331
1123,1981,609.136371426897
1125,1981,543.102033106234
1127,1981,606.807214042867
1129,1981,619.80548016978
1131,1981,567.358596127575
1133,1981,637.852215990897
4001,1981,212.910500130425
4003,1981,187.321680895782
4005,1981,276.883932885666
4007,1981,246.639332348066
4009,1981,161.576414752747
4011,1981,179.7261023775
4012,1981,48.6636516794769
4013,1981,55.8359637703131
4015,1981,78.1123544113345
4017,1981,185.83788840119
4019,1981,168.733650774686
4021,1981,91.5362801262895
4023,1981,318.572197457734
4025,1981,182.608840032394
4027,1981,41.8134511007838
5001,1981,638.135027927375
5003,1981,564.462661691244
5005,1981,529.072424118736
5007,1981,707.157449836632
5009,1981,715.304870628551
5011,1981,671.053850707083
5013,1981,713.828106781713
5015,1981,741.807974473995
5017,1981,527.272513645588
5019,1981,761.78194444186
5021,1981,593.615496936361
5023,1981,651.803595526024
5025,1981,676.097350317971
5027,1981,727.471335192343
5029,1981,709.574087450275
5031,1981,589.189508281239
5033,1981,711.129261216382
5035,1981,669.394187519649
5037,1981,646.060147601852
5039,1981,738.635159288001
5041,1981,589.497672753402
5043,1981,585.331765161143
5045,1981,700.354924814422
5047,1981,753.844271266788
5049,1981,540.313971838963
5051,1981,785.453692095536
5053,1981,660.35121673594
5055,1981,598.033931094273
5057,1981,709.900455901112
5059,1981,792.724463465326
5061,1981,747.495581263245
5063,1981,589.089722747303
5065,1981,596.052102256187
5067,1981,610.876117578525
5069,1981,648.553413728973
5071,1981,719.009901378645
5073,1981,724.625224475182
5075,1981,506.258315114856
5077,1981,691.20359953124
5079,1981,639.224231677743
5081,1981,719.16672692226
5083,1981,760.717753501484
5085,1981,696.97510887076
5087,1981,752.08689828656
5089,1981,655.297690210562
5091,1981,716.579314570757
5093,1981,695.0807878628
5095,1981,659.006647050332
5097,1981,909.151125271904
5099,1981,686.145569842912
5101,1981,768.435508321781
5103,1981,708.687099616993
5105,1981,718.461142566606
5107,1981,696.790296536632
5109,1981,826.338311588187
5111,1981,589.301809633854
5113,1981,940.358596915942
5115,1981,699.854548420052
5117,1981,732.172759471432
5119,1981,706.041240791245
5121,1981,518.419724595542
5123,1981,670.058007292037
5125,1981,692.787882006663
5127,1981,863.765914821761
5129,1981,687.304872502437
5131,1981,746.454854404328
5133,1981,757.843977093815
5135,1981,552.324748093469
5137,1981,643.919633744828
5139,1981,708.341024707155
5141,1981,694.761461310878
5143,1981,730.69174601544
5145,1981,757.442323709749
5147,1981,695.057555967337
5149,1981,741.63973349565
6001,1981,92.0934380433932
6003,1981,85.3929396724621
6005,1981,192.656875501895
6007,1981,171.739314721657
6009,1981,188.72103129792
6011,1981,116.863679382988
6013,1981,91.0544565469627
6015,1981,469.269010737265
6017,1981,242.403748027602
6019,1981,104.036753629425
6021,1981,149.750707558936
6023,1981,235.973343528095
6025,1981,28.0090980444602
6027,1981,75.8407008910658
6029,1981,89.9360639740952
6031,1981,78.2307692178822
6033,1981,136.084390494139
6035,1981,110.74051522139
6037,1981,81.6451972623145
6039,1981,115.023616980297
6041,1981,153.469856959985
6043,1981,174.258109017621
6045,1981,182.978776804649
6047,1981,101.765686284621
6049,1981,137.003937037492
6051,1981,81.2512054903495
6053,1981,110.837647895599
6055,1981,123.088760800237
6057,1981,228.545318925062
6059,1981,91.6315889616326
6061,1981,159.30813880729
6063,1981,153.561823381673
6065,1981,57.1933432897298
6067,1981,129.041189934182
6069,1981,108.437658751857
6071,1981,63.2502430317235
6073,1981,131.486641319962
6075,1981,128.661969375798
6077,1981,119.598152990699
6079,1981,143.264602162991
6081,1981,151.27708141448
6083,1981,161.80636285114
6085,1981,103.74305005389
6087,1981,146.288264299237
6089,1981,234.758620508587
6091,1981,123.494154326214
6093,1981,103.151293371603
6095,1981,107.566264728736
6097,1981,141.441788095649
6099,1981,106.23711130197
6101,1981,146.051774255146
6103,1981,196.422810655938
6105,1981,234.223312035757
6107,1981,80.446194906786
6109,1981,217.841834659576
6111,1981,147.777299107883
6113,1981,121.374149714276
6115,1981,174.633516091231
8001,1981,309.857651808998
8003,1981,169.900576111826
8005,1981,330.323116193829
8007,1981,332.755364281451
8009,1981,282.395587308867
8011,1981,196.584030861944
8013,1981,277.606424886878
8014,1981,278.578348362676
8015,1981,192.672002460081
8017,1981,315.341335503662
8019,NA,NA
8021,1981,195.341125353297
8023,1981,218.398682982608
