,stco,year,avg_temp
0,1001,1981.0,24.92762526632705
1,1003,1981.0,25.75133801208822
2,1005,1981.0,24.899802931805905
3,1007,1981.0,24.413837049690386
4,1009,1981.0,23.19920331691296
5,1011,1981.0,24.783938474527787
6,1013,1981.0,25.10606658852498
7,1015,1981.0,23.239048207065302
8,1017,1981.0,23.87635668841205
9,1019,1981.0,23.015557754438817
10,1021,1981.0,24.230880078794147
11,1023,1981.0,25.230390403046044
12,1025,1981.0,25.354649034102355
13,1027,1981.0,22.954661228682372
14,1029,1981.0,22.483030630384995
15,1031,1981.0,25.36613479918043
16,1033,1981.0,22.942765605271696
17,1035,1981.0,25.335836153044852
18,1037,1981.0,23.939982634803467
19,1039,1981.0,25.496054488442866
20,1041,1981.0,24.898510481746676
21,1043,1981.0,22.7888847929653
22,1045,1981.0,25.363975905956487
23,1047,1981.0,24.95329742007662
24,1049,1981.0,21.741537023078326
25,1051,1981.0,24.740081171390106
26,1053,1981.0,25.429763798503153
27,1055,1981.0,23.135043850131883
28,1057,1981.0,23.633848694276562
29,1059,1981.0,22.63445250788029
30,1061,1981.0,25.480181477526695
31,1063,1981.0,24.945954682330143
32,1065,1981.0,24.979048712717912
33,1067,1981.0,25.335390360179876
34,1069,1981.0,25.743366977764023
35,1071,1981.0,21.999882776517968
36,1073,1981.0,24.023843887305496
37,1075,1981.0,23.775722090426683
38,1077,1981.0,22.785818479146858
39,1079,1981.0,22.94379941872527
40,1081,1981.0,24.35052343766304
41,1083,1981.0,22.865445267405928
42,1085,1981.0,25.24056778438679
43,1087,1981.0,24.644955544449385
44,1089,1981.0,22.60682822868749
45,1091,1981.0,25.10476972361544
46,1093,1981.0,23.0119703612427
47,1095,1981.0,22.828527563447672
48,1097,1981.0,25.961102815854545
49,1099,1981.0,25.279394405550786
50,1101,1981.0,25.21241168585827
51,1103,1981.0,22.97427691850128
52,1105,1981.0,24.72255190259731
53,1107,1981.0,24.65397611893061
54,1109,1981.0,24.951189204043352
55,1111,1981.0,22.937618602730037
56,1113,1981.0,24.668289882099007
57,1115,1981.0,23.449014383819325
58,1117,1981.0,24.27060932242226
59,1119,1981.0,25.021141354679603
60,1121,1981.0,23.926486165281236
61,1123,1981.0,24.096579907603182
62,1125,1981.0,24.636127339313216
63,1127,1981.0,23.52442753729872
64,1129,1981.0,25.473376319390805
65,1131,1981.0,25.021212326067957
66,1133,1981.0,22.76798363722483
67,4001,1981.0,19.2372438681947
68,4003,1981.0,24.81926501728772
69,4005,1981.0,18.744395064693034
70,4007,1981.0,24.1649776413818
71,4009,1981.0,25.8047999680583
72,4011,1981.0,25.363925578002615
73,4012,1981.0,31.481930250956164
74,4013,1981.0,30.239401684602164
75,4015,1981.0,30.771913544691763
76,4017,1981.0,20.29892362331361
77,4019,1981.0,28.45316885267567
78,4021,1981.0,29.931207348950764
79,4023,1981.0,25.084517564890866
80,4025,1981.0,23.693665095867935
81,4027,1981.0,30.457988886141973
82,5001,1981.0,24.422996747449154
83,5003,1981.0,25.161504790718883
84,5005,1981.0,22.179584913197534
85,5007,1981.0,21.83001270551948
86,5009,1981.0,21.943179350354757
87,5011,1981.0,24.323917689358513
88,5013,1981.0,24.35763854446052
89,5015,1981.0,22.018628336205715
90,5017,1981.0,25.3043310965347
91,5019,1981.0,24.014464488725363
92,5021,1981.0,23.014649713350536
93,5023,1981.0,23.159719650915616
94,5025,1981.0,24.32166103942168
95,5027,1981.0,24.651728262218406
96,5029,1981.0,23.286938927091004
97,5031,1981.0,23.51942311576055
98,5033,1981.0,23.361620822713014
99,5035,1981.0,23.705288287896348
100,5037,1981.0,23.667733951364553
101,5039,1981.0,24.099591234158407
102,5041,1981.0,24.624646681426334
103,5043,1981.0,24.76659855952724
104,5045,1981.0,23.686478810761134
105,5047,1981.0,23.320165736176406
106,5049,1981.0,22.19886234985315
107,5051,1981.0,23.555114720910257
108,5053,1981.0,24.071325718688318
109,5055,1981.0,23.239158384190546
110,5057,1981.0,24.082516723273496
111,5059,1981.0,23.849716215392334
112,5061,1981.0,23.911218237687045
113,5063,1981.0,23.327034821424487
114,5065,1981.0,22.701118397345077
115,5067,1981.0,23.631575058560266
116,5069,1981.0,24.35833079926488
117,5071,1981.0,23.02638824347517
118,5073,1981.0,24.637303649220996
119,5075,1981.0,23.31954473949544
120,5077,1981.0,24.011789421302435
121,5079,1981.0,24.411116402510817
122,5081,1981.0,24.568815960654135
123,5083,1981.0,23.458537813062044
124,5085,1981.0,24.15022105058357
125,5087,1981.0,21.85167806610895
126,5089,1981.0,22.12724382839641
127,5091,1981.0,24.610391160632073
128,5093,1981.0,23.421756876330516
129,5095,1981.0,24.105320767941873
130,5097,1981.0,23.013891010547553
131,5099,1981.0,24.182765841506857
132,5101,1981.0,21.512448832479407
133,5103,1981.0,24.423879347363354
134,5105,1981.0,23.265617762489093
135,5107,1981.0,24.402245063245505
136,5109,1981.0,23.345565500098555
137,5111,1981.0,23.564082308028105
138,5113,1981.0,22.626241554625295
139,5115,1981.0,23.086017289063005
140,5117,1981.0,24.145467212456204
141,5119,1981.0,24.052011263945108
142,5121,1981.0,22.75724796017024
143,5123,1981.0,23.80782131021219
144,5125,1981.0,23.931313784839592
145,5127,1981.0,23.163753749000634
146,5129,1981.0,21.937869613370715
147,5131,1981.0,23.609636975006342
148,5133,1981.0,24.077082809157538
149,5135,1981.0,22.924358302514737
150,5137,1981.0,22.461284579865872
151,5139,1981.0,24.71689996737051
152,5141,1981.0,22.60058332400985
153,5143,1981.0,21.914846018810728
